  -19.50,    -1.50,    96.46,   221,   199
  -14.50,     3.50,   103.54,   193,   163
   -5.96,     2.04,    98.54,   148,   157
  -10.96,    -2.96,    91.46,   174,   196
  -18.04,   -10.04,   101.46,   194,   243
  -13.04,    -5.04,   108.54,   169,   205
   -4.50,    -6.50,   103.54,   125,   202
    2.53,     5.01,    51.37,   117,    93
    4.41,     5.69,    47.90,   100,    74
    3.97,     1.84,    46.90,    92,   118
    2.09,     1.16,    50.37,   111,   134
    6.03,     4.16,    53.10,    78,    93
    7.91,     4.84,    49.63,    58,    75
    7.47,     0.99,    48.63,    50,   118
   -7.25,     5.75,    41.06,   251,   104
   -5.75,     7.25,    38.94,   245,    75
   -5.31,     4.69,    37.44,   234,   105
   -6.81,     3.19,    39.56,   241,   134
   -4.69,     5.31,    42.56,   213,   102
   -3.19,     6.81,    40.44,   205,    74
   -2.75,     4.25,    38.94,   194,   103
    1.47,    -6.77,    37.84,    93,   240
    3.00,    -2.33,    36.13,    90,   171
    7.63,    -3.31,    37.74,    18,   166
    6.10,    -7.75,    39.45,    25,   233
    0.37,    -4.69,    42.26,   115,   210
    1.90,    -0.25,    40.55,   112,   147
    6.53,    -1.23,    42.16,    48,   143
