  -19.50,    -1.50,    96.46,   222,   158
  -14.50,     3.50,   103.54,   199,   119
   -5.96,     2.04,    98.54,   158,   112
  -10.96,    -2.96,    91.46,   179,   153
  -18.04,   -10.04,   101.46,   193,   193
  -13.04,    -5.04,   108.54,   173,   155
   -4.50,    -6.50,   103.54,   132,   150
    2.53,     5.01,    51.37,   132,    71
    4.41,     5.69,    47.90,   114,    52
    3.97,     1.84,    46.90,   103,   102
    2.09,     1.16,    50.37,   122,   117
    6.03,     4.16,    53.10,    90,    67
    7.91,     4.84,    49.63,    69,    48
    7.47,     0.99,    48.63,    57,    96
   -7.25,     5.75,    41.06,   283,   109
   -5.75,     7.25,    38.94,   282,    79
   -5.31,     4.69,    37.44,   268,   117
   -6.81,     3.19,    39.56,   270,   146
   -4.69,     5.31,    42.56,   239,   101
   -3.19,     6.81,    40.44,   235,    71
   -2.75,     4.25,    38.94,   219,   108
    1.47,    -6.77,    37.84,    91,   258
    3.00,    -2.33,    36.13,    91,   186
    7.63,    -3.31,    37.74,     9,   169
    6.10,    -7.75,    39.45,    15,   240
    0.37,    -4.69,    42.26,   119,   213
    1.90,    -0.25,    40.55,   121,   148
    6.53,    -1.23,    42.16,    49,   135
